best_fitness,generation,wrong_actions,loops,dead_ends,distance
-10,248,117,79,0,5
-5,263,117,76,0,0
-8,332,154,101,2,0
-9,641,114,75,0,4
-5,348,112,77,0,0
-6,775,124,81,3,0
-13,830,116,86,0,8
-6,878,111,93,10,0
-5,159,109,70,2,0
-10,899,139,89,7,4
-6,436,119,94,1,0
-14,671,123,76,0,8
-5,638,111,73,2,0
-5,913,112,73,1,0
-5,876,107,80,9,0
-5,553,118,85,3,0
-6,234,126,82,7,0
-6,712,139,87,18,0
-6,739,131,78,3,0
-5,686,115,86,0,0
-7,176,113,82,0,2
-7,555,123,93,2,0
-5,637,113,79,2,0
-5,312,119,81,1,0
-5,925,108,77,3,0
-6,964,124,82,2,0
-6,119,124,89,0,0
-8,231,132,83,0,2
-6,621,119,92,16,0
-11,515,117,96,0,5
-7,799,106,64,0,2
-6,991,135,85,2,0
-5,787,112,86,0,0
-5,268,117,82,3,0
-5,815,112,79,1,0
-6,675,112,91,5,0
-9,409,116,85,0,4
-8,530,109,86,0,3
-5,526,116,68,2,0
-7,493,121,82,0,1
-5,467,108,70,3,0
-6,243,133,89,2,0
-5,415,103,86,1,0
-9,446,124,85,0,3
-6,560,129,86,4,0
-10,963,111,82,11,5
-18,14,117,89,0,13
-7,818,141,100,5,0
-6,941,132,85,2,0
-6,564,122,73,7,0
-10,222,134,85,0,4
-5,490,104,74,5,0
-11,50,127,81,0,5
-11,227,141,89,0,5
-6,641,121,83,1,0
-5,44,106,85,2,0
-5,956,118,79,6,0
-6,319,117,77,0,1
-11,445,103,82,1,6
-7,487,126,75,0,1
-5,185,108,89,17,0
-5,491,99,81,3,0
-6,986,131,81,9,0
-6,836,139,89,4,0
-8,994,131,84,0,2
-9,665,125,86,0,3
-8,302,109,69,0,3
-7,320,118,88,0,2
-14,831,141,98,0,7
-13,158,130,78,0,7
-5,380,113,76,6,0
-8,722,126,88,0,2
-5,800,112,78,4,0
-11,862,136,92,0,4
-5,481,117,88,9,0
-5,237,96,74,7,0
-10,77,111,79,0,5
-9,201,122,97,0,2
-11,971,136,93,0,4
-7,816,132,99,1,0
-10,162,138,89,0,4
-10,607,125,88,0,4
-7,332,129,103,3,0
-18,562,116,87,0,13
-9,75,118,92,0,3
-7,994,110,87,0,2
-6,806,127,82,2,0
-6,66,117,76,0,1
-9,813,130,88,0,3
-9,979,114,89,0,4
-5,993,107,74,6,0
-8,539,117,95,0,2
-11,957,126,103,0,4
-8,404,118,76,0,3
-10,94,105,83,0,5
-6,423,130,86,11,0
-9,392,125,82,0,3
-12,946,149,104,0,5
-5,390,105,87,5,0
-6,846,127,83,0,0
