best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-5,192,116,86,0,0,192
-5,193,118,81,10,0,193
-5,844,111,87,1,0,708
-5,35,119,85,2,0,18
-5,229,102,77,0,0,36
-5,272,118,83,0,0,102
-5,814,105,81,0,0,259
-5,484,111,88,0,0,484
-5,210,116,78,0,0,178
-5,171,111,85,7,0,6
-5,183,114,82,9,0,183
-5,120,114,88,0,0,87
-5,370,118,89,0,0,67
-5,190,117,83,0,0,62
-5,73,98,84,0,0,45
-5,426,115,70,0,0,210
-6,40,121,80,0,0,40
-5,117,111,81,8,0,8
-5,253,116,82,0,0,18
-5,84,119,79,0,0,13
-5,164,118,81,5,0,16
-6,113,109,75,0,1,31
-5,540,119,87,0,0,149
-5,85,115,82,2,0,41
-5,414,118,88,0,0,412
-5,492,113,79,0,0,299
-5,325,108,77,0,0,235
-5,736,116,73,6,0,35
-5,360,118,72,4,0,360
-5,79,109,76,0,0,62
-5,205,113,80,0,0,188
-5,579,118,73,0,0,549
-5,631,119,88,0,0,32
-5,344,117,80,0,0,40
-5,199,119,81,0,0,96
-4,512,83,88,7,0,14
-5,760,116,79,0,0,69
-5,77,116,74,0,0,54
-5,91,117,77,0,0,91
-5,748,118,81,9,0,678
-5,235,117,81,3,0,8
-5,370,115,87,0,0,61
-5,234,103,79,0,0,90
-6,380,136,85,0,0,192
-5,121,118,84,1,0,104
-5,378,114,83,0,0,285
-6,240,133,89,0,0,204
-5,256,115,71,0,0,54
-5,81,114,80,0,0,2
-5,392,118,89,0,0,125
