best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-71,1070,134,176,29,0,73
-109,596,127,168,32,0,97
-56,461,110,155,27,0,25
-78,417,143,177,50,0,140
-60,1172,126,179,54,0,56
-74,364,144,176,24,0,15
-116,78,132,181,17,0,13
-102,699,135,180,33,0,45
-51,1291,127,176,26,0,96
-103,145,136,182,0,0,24
-82,410,152,177,60,0,22
-212,2000,121,180,11,0,36
-60,669,119,163,0,0,8
-96,825,140,182,18,0,43
-75,290,133,178,24,0,23
-80,291,128,166,0,0,30
-72,555,112,175,9,0,28
-62,300,93,140,28,0,75
-88,139,133,185,36,0,9
-54,1510,128,173,2,0,11
-66,1369,132,178,54,0,32
-55,1003,149,192,27,0,47
-119,284,148,186,65,0,5
-70,1499,118,173,9,0,15
-83,1619,135,176,24,0,23
-79,742,151,189,38,0,27
-95,806,96,162,18,0,10
-90,1937,133,164,55,0,74
-66,202,143,183,14,0,19
-84,656,136,176,25,0,544
-62,1066,130,168,3,0,9
-68,177,117,167,26,0,12
-62,818,130,167,23,0,19
-78,515,125,180,10,0,23
-84,414,135,182,28,0,38
-84,194,128,175,32,0,15
-54,1893,98,157,14,0,370
-85,181,108,158,39,0,21
-61,1629,123,169,35,0,10
-71,229,143,181,3,0,95
-261,63,82,146,34,0,22
-58,715,137,180,29,0,24
-73,590,113,159,5,0,7
-80,539,135,175,69,0,83
-73,897,107,159,29,0,19
-77,301,145,177,16,0,26
-122,224,119,168,33,0,25
-84,841,120,167,21,0,70
-67,275,142,179,28,0,39
-113,791,139,174,51,0,10
-98,254,137,185,47,0,18
-68,224,116,166,12,0,9
-76,1999,141,187,24,0,32
-67,446,130,165,36,0,30
-75,812,129,177,1,0,43
-130,739,97,156,6,0,18
-46,598,143,179,31,0,4
-68,837,129,178,48,0,18
-91,450,136,172,0,0,16
-211,82,93,149,9,0,9
-59,342,152,183,38,0,47
-174,165,110,166,2,0,15
-71,362,111,171,7,0,6
-57,466,144,185,39,0,17
-88,601,137,177,30,0,2
-55,545,165,199,55,0,7
-87,948,147,181,27,0,18
-54,1317,116,166,10,0,11
-75,219,138,184,13,0,25
-75,580,105,150,28,0,19
-64,1938,123,171,28,0,24
-56,1499,130,178,4,0,18
-67,322,107,146,21,0,6
-53,159,151,185,37,0,36
-50,1643,132,178,28,0,31
-94,115,106,160,9,0,26
-64,580,137,188,58,0,45
-150,212,114,168,12,0,36
-67,577,135,188,37,0,29
-58,653,125,175,44,0,25
-83,255,148,182,16,0,28
-62,549,121,162,3,0,95
-79,241,135,183,2,0,34
-82,1679,128,184,30,0,18
-90,461,124,177,22,0,11
-138,106,103,170,1,0,25
-64,257,135,176,52,0,15
-83,722,134,187,9,0,40
-72,307,150,183,24,0,10
-87,1755,135,187,54,0,30
-135,1741,115,153,1,0,421
-70,261,129,175,35,0,39
-65,639,146,191,52,0,45
-67,292,144,180,28,0,22
-77,666,116,155,47,0,25
-87,694,124,172,27,0,52
-54,1083,119,167,19,0,3
-78,1236,132,175,15,0,14
-94,235,115,171,16,0,15
-81,1442,133,177,76,0,35
