best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-108,1958,113,153,19,0,17
-82,1667,128,175,20,0,24
-89,1905,127,165,20,0,26
-73,1977,85,145,18,0,28
-83,1984,146,183,34,0,59
-94,1795,121,160,0,0,52
-77,1929,117,163,1,0,1
-90,1782,114,170,10,0,9
-91,1893,111,176,0,0,5
-62,1622,117,159,25,0,42
-104,1760,118,167,7,0,57
-77,1966,102,162,0,0,17
-83,1438,123,171,21,0,32
-78,1348,125,175,6,0,19
-106,1965,129,171,42,0,46
-85,1893,95,137,3,0,19
-100,1721,122,171,36,0,21
-69,1956,135,172,2,0,22
-103,1874,95,146,0,0,83
-72,1745,126,170,5,0,11
-104,1623,116,167,14,0,6
-66,1978,95,150,7,0,86
-78,1726,72,137,26,0,18
-75,1902,106,169,0,0,48
-82,1990,118,162,23,0,67
-56,1839,127,174,10,0,56
-126,1998,113,170,10,0,73
-71,1943,100,151,0,0,26
-76,1812,119,166,0,0,42
-81,1992,84,146,13,0,61
-95,1421,130,183,0,0,18
-82,1264,112,161,16,0,30
-75,1848,127,178,1,0,27
-155,1997,90,149,4,0,9
-76,1888,117,173,20,0,22
-70,1469,126,169,0,0,22
-76,1965,115,162,23,0,45
-70,1838,117,152,6,0,6
-87,1657,89,150,2,0,18
-72,1888,112,155,17,0,70
-135,2000,110,144,21,0,54
-85,1946,125,169,2,0,21
-94,1774,123,167,4,0,28
-110,1696,105,146,8,0,6
-95,1994,131,170,21,0,33
-78,1549,111,174,9,0,21
-59,1427,138,168,13,0,15
-74,1988,108,157,12,0,6
-93,1746,118,160,13,0,48
-91,1489,120,168,27,0,21
-65,1856,84,136,8,0,27
-79,1158,101,153,12,0,82
-98,1954,121,169,57,0,7
-70,1994,106,159,24,0,12
-85,1980,91,146,3,0,19
-99,1421,110,151,0,0,32
-77,1849,109,174,0,0,30
-102,1905,102,164,6,0,12
-76,1860,97,148,0,0,28
-96,1965,114,165,0,0,6
-79,1850,109,169,1,0,15
-76,1871,143,185,45,0,17
-68,1912,116,155,46,0,2
-66,1912,130,169,18,0,66
-86,1959,117,172,16,0,17
-83,1973,95,146,14,0,7
-100,1926,91,156,0,0,25
-104,1872,117,167,0,0,17
-98,1924,128,165,15,0,110
-74,1731,96,153,26,0,16
-100,1910,122,168,5,0,28
-83,1997,107,162,0,0,54
-99,1501,118,168,8,0,16
-108,1752,137,170,15,0,54
-106,1995,116,158,1,0,12
-77,1208,140,181,21,0,20
-113,1910,130,176,5,0,41
-76,1810,95,148,0,0,19
-109,1939,105,161,14,0,26
-86,1890,120,168,45,0,44
-74,1984,120,170,8,0,30
-74,1544,140,185,23,0,24
-82,1914,110,162,1,0,11
-69,1894,94,154,0,0,82
-79,1913,129,179,0,0,29
-88,1770,93,149,32,0,9
-75,1694,105,159,30,0,34
-130,1833,85,145,4,0,31
-79,1611,129,174,52,0,22
-91,1988,122,175,21,0,13
-66,1856,128,177,41,0,21
-76,1712,140,180,66,0,42
-113,1970,109,162,36,0,46
-122,1604,114,161,12,0,70
-77,1667,93,160,0,0,32
-77,1903,123,176,0,0,21
-73,1993,118,166,22,0,36
-72,1634,107,147,11,0,21
-73,1603,89,137,9,0,11
-85,1212,100,151,2,0,15
