best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-6,36,77,148,0,0,13
-6,35,73,147,0,0,11
-8,30,109,173,9,0,21
-5,28,56,138,2,0,23
-6,23,78,147,0,0,12
-6,22,74,142,0,0,14
-5,42,57,143,0,0,11
-7,30,88,159,2,0,17
-5,46,56,138,0,0,40
-7,10,88,179,0,0,4
-7,100,89,172,26,0,22
-8,91,112,173,16,0,81
-5,85,59,141,0,0,22
-6,47,89,145,6,0,17
-6,44,72,144,5,0,7
-6,97,65,132,1,0,97
-7,61,89,168,9,0,11
-6,57,73,145,0,0,36
-6,35,78,147,0,0,33
-6,89,82,145,12,0,32
-7,26,86,163,5,0,14
-4,93,51,119,5,0,17
-6,86,70,149,0,0,16
-6,46,71,148,2,0,46
-6,37,84,147,0,0,24
-6,27,82,143,0,0,17
-5,39,58,142,0,0,14
-7,19,85,158,0,0,13
-6,50,72,148,0,0,40
-7,50,88,163,0,0,46
-6,37,70,149,0,0,37
-6,20,76,148,0,0,16
-7,82,89,159,1,0,41
-6,48,84,148,0,0,9
-6,37,81,149,2,0,29
-5,53,56,124,0,0,53
-6,47,82,146,0,0,7
-5,60,58,137,0,0,37
-6,24,81,148,0,0,24
-7,36,86,172,0,0,31
-5,60,53,137,14,0,42
-5,87,53,138,0,0,8
-8,17,119,176,5,0,14
-7,34,85,155,2,0,18
-6,58,77,145,0,0,36
-7,40,86,167,11,0,31
-4,97,56,118,5,0,74
-6,49,69,144,0,0,36
-6,34,75,148,0,0,23
-6,45,87,147,0,0,36
-7,27,84,165,3,0,4
-5,54,58,127,0,0,23
-6,28,74,136,2,0,28
-6,37,79,138,0,0,6
-6,33,77,145,2,0,26
-7,35,83,154,0,0,22
-5,92,59,134,2,0,52
-6,17,82,149,7,0,14
-6,22,79,148,4,0,8
-6,35,72,149,0,0,19
-6,18,82,145,0,0,18
-5,47,59,145,0,0,11
-6,84,88,148,0,0,67
-6,93,74,149,0,0,16
-5,82,59,135,0,0,32
-27,4,95,171,3,19,None
-6,51,67,144,1,0,11
-10,83,38,112,0,6,None
-7,26,87,161,2,0,20
-5,57,56,131,0,0,16
-6,35,76,146,8,0,20
-6,43,85,145,1,0,42
-7,24,87,164,0,0,21
-6,49,73,148,4,0,10
-6,27,76,144,0,0,24
-6,28,64,149,0,0,25
-5,90,59,132,0,0,9
-6,60,86,142,10,0,60
-6,27,79,149,3,0,12
-6,9,82,147,0,0,9
-6,53,87,147,0,0,49
-6,30,82,149,5,0,12
-8,36,112,171,10,0,22
-6,17,70,147,0,0,11
-6,23,86,149,0,0,6
-6,63,78,145,0,0,38
-7,13,86,177,0,0,12
-6,61,80,148,0,0,61
-7,11,89,161,1,0,11
-5,40,55,142,0,0,18
-6,73,85,149,0,0,5
-6,45,78,145,10,0,45
-7,13,85,165,7,0,11
-4,67,49,117,0,0,30
-6,12,80,142,0,0,9
-16,100,80,148,0,10,None
-6,52,88,145,0,0,48
-6,15,84,148,0,0,15
-6,26,87,147,10,0,14
-6,41,65,135,0,0,40
