best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-11,48,120,172,0,2,None
-7,52,97,142,11,0,9
-8,7,116,167,0,0,7
-12,41,92,162,0,4,None
-7,99,93,145,0,0,62
-8,62,107,169,9,0,22
-8,57,110,170,0,0,57
-8,86,114,169,0,0,38
-8,46,110,166,0,0,21
-8,16,118,174,0,0,15
-9,55,123,179,0,0,40
-8,16,118,170,2,0,16
-8,26,116,161,6,0,24
-8,7,112,169,0,0,6
-8,50,118,173,0,0,50
-8,53,109,175,2,0,43
-12,93,112,178,0,4,None
-8,19,110,176,1,0,11
-8,15,110,167,0,0,15
-8,36,111,161,14,0,23
-17,3,123,187,0,7,None
-8,46,116,179,0,0,46
-8,16,98,164,0,0,16
-8,20,108,166,0,0,15
-8,26,104,159,5,0,19
-8,12,115,168,0,0,12
-8,91,113,173,5,0,65
-8,26,103,166,4,0,15
-9,59,105,169,2,1,None
-8,17,112,174,15,0,13
-8,10,119,167,0,0,6
-8,42,110,178,13,0,27
-8,42,116,167,0,0,34
-8,5,113,172,0,0,5
-8,59,109,179,14,0,46
-8,83,108,175,0,0,83
-8,60,119,175,3,0,60
-8,51,112,168,0,0,9
-8,44,99,166,0,0,44
-8,54,118,168,0,0,54
-8,43,119,173,1,0,10
-7,77,98,148,4,0,24
-8,85,118,159,6,0,85
-8,40,119,178,0,0,33
-8,32,114,177,23,0,27
-8,93,110,174,0,0,91
-10,98,125,185,14,0,98
-8,24,119,174,0,0,24
-8,21,108,174,0,0,17
-7,95,101,147,7,0,59
-7,53,96,147,0,0,12
-8,29,117,173,0,0,29
-8,19,118,177,0,0,11
-8,82,112,177,0,0,11
-8,53,117,178,0,0,47
-8,11,118,164,0,0,11
-8,9,114,167,0,0,2
-8,59,115,166,0,0,59
-7,87,96,142,0,0,10
-8,2,118,165,1,0,2
-13,85,134,179,0,4,None
-9,66,138,177,0,0,51
-8,98,104,156,0,0,98
-8,58,103,165,0,0,23
-8,56,114,174,0,0,27
-8,22,116,176,0,0,22
-6,24,87,149,6,0,18
-8,13,116,168,3,0,13
-8,36,112,166,0,0,36
-8,28,103,153,0,0,28
-8,23,118,176,0,0,10
-8,7,119,173,0,0,6
-8,44,107,173,0,0,33
-8,45,104,152,0,0,45
-8,79,111,167,0,0,7
-18,95,108,156,0,10,None
-8,86,106,167,2,0,86
-8,37,116,178,9,0,16
-8,39,116,168,0,0,23
-8,30,114,156,0,0,30
-8,80,119,173,5,0,43
-8,24,119,171,10,0,24
-8,80,106,155,0,0,73
-11,79,139,187,30,0,79
-8,12,117,176,11,0,10
-8,40,119,175,0,0,40
-8,50,110,158,6,0,50
-9,97,126,175,1,0,35
-10,48,114,175,4,2,None
-8,38,102,167,5,0,38
-8,61,110,162,0,0,61
-8,28,116,165,1,0,28
-14,54,104,159,0,6,None
-7,98,102,147,0,0,18
-8,47,103,179,11,0,9
-8,38,115,168,0,0,33
-8,60,117,176,10,0,36
-7,27,89,161,0,0,27
-19,8,109,173,0,11,None
-8,39,112,171,8,0,21
