best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
0,39,119,164,0,0,39
0,10,87,161,0,0,10
0,24,104,164,0,0,24
0,29,108,170,0,0,29
0,22,104,167,0,0,22
0,38,81,153,0,0,38
0,13,87,150,0,0,13
0,2,117,181,0,0,2
0,20,91,153,2,0,20
0,15,95,159,24,0,15
0,11,85,159,0,0,11
0,23,91,159,0,0,23
0,21,115,173,4,0,21
0,10,133,179,12,0,10
0,18,90,164,0,0,18
0,3,109,167,0,0,3
0,50,65,127,0,0,50
0,23,86,164,4,0,23
0,51,100,165,6,0,51
0,31,69,137,0,0,31
0,62,52,122,0,0,62
0,10,116,177,29,0,10
0,20,100,176,0,0,20
0,5,101,159,0,0,5
0,38,119,179,0,0,38
0,25,107,172,0,0,25
0,19,79,153,4,0,19
0,5,121,182,0,0,5
0,60,78,144,0,0,60
0,41,111,172,0,0,41
0,10,114,180,0,0,10
0,18,101,161,0,0,18
0,5,95,168,0,0,5
0,26,105,163,0,0,26
0,8,97,159,0,0,8
0,29,72,144,0,0,29
0,44,91,168,0,0,44
0,21,88,150,2,0,21
0,17,115,187,24,0,17
0,58,82,134,0,0,58
0,28,114,163,17,0,28
0,17,111,173,0,0,17
0,18,83,147,4,0,18
0,31,72,154,0,0,31
0,13,110,170,0,0,13
0,32,106,168,0,0,32
0,21,98,172,7,0,21
0,15,110,179,0,0,15
0,30,115,169,0,0,30
0,26,109,165,0,0,26
0,14,110,179,0,0,14
0,35,93,160,24,0,35
0,26,99,165,0,0,26
0,25,119,179,14,0,25
0,75,89,175,0,0,75
0,73,117,176,0,0,73
0,9,77,163,0,0,9
0,15,119,185,2,0,15
0,6,94,159,0,0,6
0,6,102,164,0,0,6
0,12,92,169,0,0,12
0,14,103,159,11,0,14
0,36,111,175,9,0,36
0,73,65,135,0,0,73
0,16,103,172,0,0,16
0,35,88,151,0,0,35
0,75,120,173,2,0,75
0,21,90,157,2,0,21
0,35,108,165,0,0,35
0,13,113,165,0,0,13
0,10,86,156,10,0,10
0,80,92,161,11,0,80
0,10,121,165,0,0,10
0,22,107,189,0,0,22
0,22,97,175,0,0,22
0,18,90,141,0,0,18
0,5,112,178,0,0,5
0,5,104,172,0,0,5
0,31,100,164,7,0,31
0,16,107,175,0,0,16
0,15,72,144,3,0,15
0,38,74,134,0,0,38
0,42,97,162,2,0,42
0,12,91,153,0,0,12
0,7,113,182,0,0,7
0,26,68,150,0,0,26
0,46,117,178,1,0,46
0,17,114,183,9,0,17
0,29,87,155,0,0,29
0,60,95,164,0,0,60
0,14,114,177,1,0,14
0,24,92,176,3,0,24
0,75,82,161,2,0,75
0,12,111,176,0,0,12
0,45,97,161,0,0,45
0,17,96,161,0,0,17
0,17,91,168,3,0,17
0,41,76,156,0,0,41
0,32,107,171,22,0,32
0,4,114,188,0,0,4
