best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-7,69,101,171,0,7,None
0,40,132,185,0,0,40
0,9,125,176,15,0,9
0,53,120,175,11,0,53
-6,100,118,166,0,6,None
0,24,137,187,0,0,24
0,51,112,174,3,0,51
0,13,112,164,0,0,13
0,12,108,169,0,0,12
0,97,120,175,0,0,97
0,50,118,172,5,0,50
0,11,107,170,0,0,11
0,22,112,171,0,0,22
0,13,145,190,22,0,13
0,8,136,181,0,0,8
-7,54,113,170,2,7,None
0,7,158,198,22,0,7
0,40,120,176,0,0,40
0,28,102,170,0,0,28
0,34,131,172,0,0,34
0,3,111,169,1,0,3
0,10,132,181,4,0,10
0,42,127,178,0,0,42
0,33,125,174,11,0,33
0,33,130,186,0,0,33
0,22,134,169,3,0,22
0,19,98,160,0,0,19
0,25,113,176,0,0,25
0,14,134,184,0,0,14
0,63,118,183,8,0,63
0,23,118,164,9,0,23
0,18,126,185,0,0,18
0,25,132,179,0,0,25
0,13,133,187,0,0,13
0,25,109,176,20,0,25
0,50,116,166,0,0,50
0,8,115,155,0,0,8
0,62,96,149,1,0,62
0,53,109,169,0,0,53
0,36,124,175,3,0,36
0,47,125,187,0,0,47
0,20,133,184,9,0,20
0,67,114,168,0,0,67
0,20,128,190,0,0,20
0,36,114,154,0,0,36
-6,29,130,177,28,6,None
0,32,113,164,2,0,32
0,16,134,187,0,0,16
0,3,127,175,3,0,3
0,11,105,175,0,0,11
0,24,120,185,6,0,24
0,23,130,184,43,0,23
0,6,121,176,0,0,6
0,4,120,183,17,0,4
0,10,112,171,0,0,10
0,47,125,182,0,0,47
0,33,124,182,0,0,33
0,29,124,167,6,0,29
0,79,115,179,0,0,79
0,19,131,172,0,0,19
0,95,129,172,14,0,95
0,14,101,167,0,0,14
-9,5,127,184,26,9,None
0,12,111,176,8,0,12
0,16,128,177,8,0,16
0,43,115,163,0,0,43
0,10,119,179,0,0,10
0,14,132,191,9,0,14
0,12,132,184,0,0,12
0,100,117,177,9,0,None
0,50,117,170,0,0,50
0,93,132,187,28,0,93
0,85,122,180,2,0,85
0,68,106,166,4,0,68
0,42,124,184,0,0,42
0,79,106,173,0,0,79
0,18,107,173,0,0,18
0,13,119,185,0,0,13
0,3,135,185,11,0,3
0,24,128,182,2,0,24
0,12,111,166,2,0,12
0,27,116,169,5,0,27
0,7,144,200,15,0,7
0,59,130,188,0,0,59
0,11,134,179,0,0,11
0,66,114,175,0,0,66
0,57,117,171,10,0,57
0,24,130,182,0,0,24
0,71,120,174,0,0,71
0,62,118,171,0,0,62
0,7,112,175,0,0,7
0,23,121,173,0,0,23
0,13,142,185,0,0,13
0,22,132,178,1,0,22
0,14,116,178,2,0,14
0,94,132,191,0,0,94
0,29,104,173,0,0,29
0,58,112,165,0,0,58
0,5,133,177,5,0,5
0,40,108,174,0,0,40
