best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-24,984,16,8,0,0,351
-65,1000,29,36,0,0,232
-29,989,25,4,0,0,234
-61,983,38,23,0,0,149
-28,991,17,11,0,0,303
-25,987,11,13,1,0,371
-38,998,22,16,0,0,143
-65,999,31,34,0,0,74
-35,998,19,16,0,0,269
-39,999,28,11,0,0,110
-26,999,13,13,0,0,38
-32,965,13,19,0,0,269
-86,995,48,38,0,0,342
-36,985,19,17,0,0,48
-69,997,34,35,0,0,718
-29,987,15,14,0,0,263
-52,979,30,22,0,0,198
-14,931,10,4,0,0,413
-36,1000,25,11,0,0,93
-67,931,38,29,0,0,205
-27,988,16,11,0,0,82
-89,998,52,37,0,0,305
-64,989,38,26,0,0,509
-45,986,25,20,0,0,245
-41,962,27,14,0,0,429
-44,996,25,19,0,0,312
-20,994,12,8,0,0,83
-37,978,17,20,0,0,240
-65,996,33,31,1,0,303
-22,1000,16,6,0,0,188
-43,996,20,23,0,0,209
-41,990,23,18,0,0,91
-49,986,30,19,0,0,276
-25,998,17,8,0,0,320
-37,988,22,15,0,0,204
-46,965,29,17,0,0,100
-48,978,32,16,0,0,205
-11,938,6,5,0,0,120
-20,980,13,7,0,0,194
-36,991,21,15,0,0,322
-10,987,4,6,0,0,380
-25,977,13,12,0,0,420
-39,990,24,15,0,0,65
-24,980,16,8,0,0,578
-54,987,27,27,0,0,15
-67,983,34,33,0,0,88
-49,994,28,21,0,0,293
-35,997,21,14,0,0,74
-77,993,44,33,0,0,357
-31,1000,13,18,0,0,390
-66,993,38,28,0,0,415
-35,998,24,11,0,0,263
-46,997,30,16,0,0,291
-18,999,9,9,0,0,239
-28,997,18,10,0,0,401
-28,958,17,11,0,0,442
-28,990,18,10,0,0,158
-52,964,33,19,0,0,412
-27,996,21,6,0,0,452
-52,993,33,19,0,0,423
-22,998,15,7,0,0,438
-95,999,60,35,0,0,318
-96,999,67,29,0,0,561
-19,985,10,9,0,0,235
-20,969,11,9,0,0,501
-13,980,4,9,0,0,382
-45,963,24,21,0,0,310
-32,992,18,14,0,0,32
-27,993,15,12,0,0,50
-12,993,9,3,0,0,119
-52,982,32,20,0,0,496
-90,949,55,36,0,0,144
-38,987,20,18,0,0,169
-12,934,7,5,0,0,325
-47,992,28,19,0,0,192
-40,999,22,18,0,0,112
-32,999,19,13,0,0,528
-28,994,19,9,0,0,253
-52,968,30,22,0,0,328
-95,976,48,47,0,0,157
-42,992,22,20,0,0,308
-61,999,33,28,0,0,309
-27,994,18,9,0,0,236
-14,998,7,7,0,0,70
-19,1000,14,5,0,0,367
-38,997,25,13,0,0,275
-45,986,28,17,0,0,51
-28,992,16,12,0,0,249
-54,992,29,25,0,0,215
-51,996,30,21,0,0,570
-40,998,21,19,0,0,99
-27,984,14,13,0,0,354
-9,975,4,5,0,0,371
-32,1000,20,12,0,0,501
-50,995,26,24,0,0,276
-37,998,26,11,0,0,266
-35,962,22,13,0,0,184
-16,988,10,6,0,0,458
-38,971,26,12,0,0,62
-42,998,28,14,0,0,103
