best_fitness,generation
0,64
0,119
0,124
0,146
0,180
0,116
0,60
0,132
0,81
0,146
0,525
0,265
0,136
-13,999
-2,999
-2,999
0,236
0,328
-2,999
-2,999
-13,999
0,183
0,192
0,139
-13,999
0,122
0,255
0,202
0,280
-2,999
-13,999
0,128
0,200
0,63
0,211
0,178
0,88
0,116
0,156
-1,999
-1,999
-2,999
0,91
0,119
0,190
0,118
-13,999
0,127
0,98
0,164
-2,999
0,221
0,164
0,242
0,271
0,191
-13,999
-13,999
-13,999
0,49
0,46
-13,999
-2,999
0,124
0,123
0,266
0,126
-2,999
-2,999
-1,999
-2,999
0,147
0,223
0,140
0,171
0,210
0,154
0,117
0,307
0,88
0,146
0,195
0,251
0,142
0,113
-13,999
-11,999
0,103
0,104
0,421
0,103
0,74
0,130
0,434
-2,999
-1,999
-11,999
-2,999
-13,999
-2,999
