best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-5,479,112,80,7,0,206
-5,538,119,82,4,0,17
-5,213,110,83,0,0,12
-5,151,119,87,3,0,151
-5,302,116,89,0,0,146
-5,991,107,74,0,0,70
-5,545,117,78,7,0,322
-6,502,123,64,0,0,502
-5,256,118,83,0,0,256
-5,477,110,78,0,0,441
-5,351,118,84,2,0,230
-5,569,108,82,0,0,569
-5,550,119,89,11,0,108
-6,791,116,84,0,1,94
-5,825,108,77,0,0,825
-5,557,109,83,3,0,117
-5,416,113,86,0,0,307
-5,315,117,79,0,0,315
-5,130,114,73,4,0,14
-12,286,113,93,0,6,None
-5,125,114,76,0,0,125
-5,313,114,80,0,0,38
-5,757,119,78,0,0,17
-6,761,137,88,0,0,480
-5,574,117,89,16,0,18
-5,372,103,82,7,0,349
-5,939,114,75,0,0,391
-6,253,132,86,0,0,253
-5,436,117,71,7,0,352
-5,652,116,80,0,0,541
-7,933,133,94,0,0,933
-5,68,109,73,2,0,58
-5,765,117,86,0,0,267
-5,91,119,78,2,0,66
-5,281,107,69,8,0,5
-6,571,144,88,7,0,571
-5,163,116,74,0,0,123
-5,274,112,89,0,0,274
-5,845,110,82,0,0,364
-9,907,123,97,0,2,None
-5,114,115,88,0,0,114
-5,897,110,75,0,0,293
-6,343,111,89,0,1,None
-5,736,118,83,8,0,367
-5,755,118,80,7,0,755
-5,35,114,89,0,0,35
-5,333,109,81,5,0,107
-5,423,117,83,5,0,423
-5,270,104,86,11,0,41
-5,37,118,85,4,0,37
