best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-17,997,12,5,0,0,43
-10,961,7,3,0,0,49
-7,997,4,3,0,0,125
-11,902,6,5,0,0,129
-15,928,8,7,0,0,76
-11,967,6,5,0,0,54
-13,981,6,7,0,0,42
-21,966,11,10,0,0,41
-8,989,1,7,0,0,71
-17,981,10,7,0,0,116
-18,997,12,6,0,0,30
-21,987,16,5,0,0,38
-43,992,20,23,0,0,120
-14,981,10,4,0,0,79
-6,972,4,2,0,0,97
-12,896,8,4,0,0,53
-9,996,6,3,0,0,25
-17,991,9,8,0,0,61
-21,999,9,12,0,0,188
-10,957,9,1,0,0,94
-17,934,3,14,0,0,107
-14,864,9,5,0,0,78
-7,888,5,2,0,0,26
-13,993,6,7,0,0,14
-10,953,4,6,0,0,64
-10,988,8,2,0,0,75
-6,998,4,2,0,0,81
-16,959,11,5,0,0,52
-17,998,8,9,0,0,134
-20,997,14,6,0,0,50
-12,939,9,3,0,0,137
-14,916,10,4,0,0,36
-62,996,33,29,0,0,93
-11,982,5,6,0,0,123
-5,901,3,2,0,0,27
-13,967,6,7,0,0,7
-7,957,6,1,0,0,191
-14,969,10,4,0,0,13
-20,998,10,10,0,0,90
-22,999,14,8,0,0,113
-24,991,12,12,0,0,39
-16,974,9,7,0,0,99
-19,998,11,8,0,0,88
-20,988,10,10,0,0,36
-35,980,16,19,0,0,80
-31,967,20,11,0,0,77
-14,983,9,5,0,0,78
-21,995,13,8,0,0,427
-20,976,13,7,0,0,74
-5,947,4,1,0,0,163
-18,939,11,7,0,0,116
-22,978,9,13,0,0,48
-24,995,13,11,0,0,30
-32,1000,18,14,0,0,341
-3,975,1,2,0,0,73
-24,935,11,13,0,0,128
-26,997,13,13,0,0,28
-28,995,13,15,0,0,260
-24,998,12,12,0,0,32
-13,991,8,5,0,0,163
-15,998,7,8,0,0,48
-19,981,10,9,0,0,70
-18,995,10,8,0,0,24
-9,972,7,2,0,0,42
-6,878,6,0,0,0,27
-31,994,23,8,0,0,35
-11,959,7,4,0,0,71
-6,872,3,3,0,0,31
-16,984,8,8,0,0,119
-7,765,6,1,0,0,185
-31,973,14,17,0,0,65
-19,964,5,14,0,0,55
-26,975,13,13,0,0,84
-15,996,13,2,0,0,46
-17,987,7,10,0,0,113
-16,978,8,8,0,0,143
-38,1000,24,14,0,0,85
-5,922,3,2,0,0,216
-6,951,4,2,0,0,67
-7,931,5,2,0,0,148
-22,978,15,7,0,0,9
-10,864,9,1,0,0,71
-16,925,13,3,0,0,47
-15,974,5,10,0,0,183
-21,979,12,9,0,0,39
-30,1000,18,12,0,0,73
-19,992,11,8,0,0,112
-15,995,10,5,0,0,81
-41,991,22,19,0,0,58
-6,996,4,2,0,0,10
-13,983,9,4,0,0,8
-19,989,12,7,0,0,119
-8,848,5,3,0,0,35
-18,991,12,6,0,0,89
-16,990,8,8,0,0,4
-20,985,16,4,0,0,47
-37,997,22,15,0,0,69
-10,918,8,2,0,0,37
-11,990,8,3,0,0,149
-31,1000,15,16,0,0,19
