best_fitness,generation,wrong_actions,loops,dead_ends,distance
-5,522,108,85,3,0
-5,235,110,73,0,0
-5,261,117,79,0,0
-5,440,117,83,11,0
-6,502,133,89,10,0
-5,518,112,80,0,0
-5,55,114,82,0,0
-5,154,108,83,0,0
-5,88,116,83,3,0
-4,735,89,70,0,0
-5,813,115,84,0,0
-6,298,125,82,0,0
-5,610,108,82,3,0
-5,133,109,89,0,0
-7,507,134,91,5,0
-5,684,106,86,3,0
-5,111,117,87,11,0
-5,446,118,76,1,0
-5,107,119,86,5,0
-5,146,115,79,0,0
-5,70,113,88,1,0
-6,194,131,83,0,0
-5,480,119,77,0,0
-6,317,136,79,0,0
-7,751,128,91,0,0
-5,770,118,78,15,0
-6,87,114,86,0,1
-5,869,115,83,0,0
-5,672,118,82,2,0
-5,375,119,80,12,0
-8,715,142,105,0,1
-5,271,109,77,2,0
-13,749,115,79,0,8
-6,472,123,89,3,0
-5,489,116,86,0,0
-5,156,108,78,0,0
-6,513,126,88,0,0
-6,81,116,93,8,0
-6,954,126,75,0,0
-6,252,126,83,18,0
-5,755,111,79,0,0
-6,610,127,79,5,0
-5,903,101,64,0,0
-5,413,117,86,4,0
-5,541,103,88,3,0
-5,322,117,79,0,0
-6,211,145,86,6,0
-5,55,108,79,0,0
-5,349,119,77,0,0
-5,284,117,84,0,0
