best_fitness,generation,wrong_actions,loops,dead_ends,distance,first_winner
-7,672,134,102,0,0,672
-5,518,118,72,0,0,387
-5,174,118,83,0,0,41
-17,67,135,97,3,10,None
-5,595,117,78,8,0,205
-5,283,119,70,0,0,283
-6,621,137,83,0,0,621
-5,173,109,80,0,0,173
-12,932,119,81,0,7,None
-5,882,119,71,0,0,23
-6,36,130,83,0,0,36
-15,408,127,98,0,8,None
-16,33,102,80,0,11,None
-5,418,114,86,0,0,118
-6,820,132,83,15,0,457
-5,334,117,85,1,0,334
-6,938,120,89,28,0,938
-6,780,131,88,0,0,686
-7,300,141,102,0,0,300
-5,739,112,72,0,0,408
-7,747,133,96,0,0,747
-5,192,114,85,5,0,88
-6,611,125,86,0,0,611
-7,809,129,97,0,0,809
-5,378,113,89,0,0,378
-5,576,112,80,0,0,576
-6,394,123,89,0,0,394
-5,439,115,81,0,0,217
-5,627,117,82,7,0,627
-5,645,116,87,7,0,645
-5,542,116,75,4,0,542
-6,871,145,86,3,0,513
-23,990,117,86,2,18,None
-5,531,119,61,0,0,322
-5,500,110,82,7,0,16
-6,443,126,84,0,0,283
-7,861,125,94,4,0,861
-5,926,116,80,4,0,426
-8,264,128,93,6,1,None
-6,174,121,89,0,0,174
-6,114,130,81,5,0,114
-5,263,104,80,0,0,150
-5,22,115,81,9,0,22
-5,31,106,87,0,0,31
-7,199,120,90,9,0,199
-6,444,120,81,1,0,444
-7,272,122,92,2,0,272
-5,499,119,78,3,0,80
-10,990,100,70,0,5,None
-6,952,123,86,0,0,952
